request_text,agree,already_returned_goods,already_tried,app_access_no_resident,are_you_robot,bank_operating_hours,block_only_specific_card,cant_make_payments,cant_pay_by_card,card_blocking,card_closing,card_withdrawal_fail,cash_and_goods_credit,cash_credit,cash_or_refinance_credit,change_lang_kz,change_lang_ru,change_trusted_number,check_balance,credit_limits,credit_monthly_salary,credit_repayment_documents,disagree,dont_know,early_credit_repayment,enter_app_with_trusted_number,explain_refill_options,extend_ATM_limit,extend_POS_limit,extend_card_limits,extend_internet_limit,goods_credit,how_collect_encumbrance,how_open_card,how_paid,insufficient_funds,is_there_overpayment,monthly_payment_amount,named_4_digits,need_plastic_card,new_phone,no_income_bonuses,not_now,not_remember,other_apps_work,other_encumbrance_sources,pension_receipt,pin_error,refill_atm,refill_bank_branch,refill_other_card,refill_terminal,reissue_card,repeat,return_goods_credit,salary_receipt,scum,talk_to_operator,unable,unblock_app,unofficial_OS,video_registration_fail,wait,what_code,what_is_it,what_is_trusted,what_repayment_documents,where_repair,which_bank,why,why_card_blocked,why_credit_refusal,wish_to_do_himself,wish_to_do_online,wish_to_use_without_reissue
вот это я с твоего номера звоню,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
здравствуйте айдос я хотела с каспи карты перевести на халык и я у меня карты нет у меня получается есть только просто приложение халык банка и я не могу понять как я могу узнать свои реквизиты чтобы с каспи банка перевести на халык,5.0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,8.0,0.0,8.0,5.0,5.0,2.0,2.0,5.0,0.0,5.0,5.0,8.0,5.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,5.0,10.0,0.0,5.0,0.0,5.0,9.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,2.0,0.0,5.0,7.0,2.0
здравствуйте еще раз я взяла карточку вашу здесь на обе реке извиняюсь но я ее я попросила ее активизировать они мне ее не активизировали я хочу на нее положить деньги мое имя не высвечиваться как сделать чтағы басқаы она работала,2.0,2.0,5.0,5.0,0.0,2.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,0.0,5.0,5.0,2.0,5.0,8.0,2.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0
здравствуйте мне выпл я привязываю карту мне выходит проверка и отправлять на ваш номер,5.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,2.0,5.0,5.0,2.0,5.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,5.0,5.0,0.0,2.0,5.0,0.0,3.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,2.0,5.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,2.0
здравствуйте мне нужно войти в аккаунт но у меня номер утерян как то я могу восстановить свой аккаунт,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0
здравствуйте скажите мне надо срочно дать объявление ойлыкс я его ввела но я не знаю как пополнить с банковской карты счет на своем телефоне чтобы я могла перевести со своего телефона на ойлыкс какие функции для этого нужны чтобы перевести деньги на телефон не пополнить его единица а именно чтобы лежали на телефоне откуда ввести этот с халыка какую функцию ввести в телефон чтобы там лежали деньги чтобы я могла спокойно пополнять объявления свои,5.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,8.0,2.0,2.0,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,0.0,5.0,0.0,2.0,5.0,0.0,2.0,2.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,2.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,2.0
здравствуйте у меня сегодня я хотел посмотреть сколько у меня на счету банка вчера я который раньше менял на другой и все он у меня теперь ни старым кодом не открывается и ни новым кодом не открывается,2.0,0.0,5.0,2.0,0.0,2.0,0.0,5.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,5.0,8.0,5.0,2.0,8.0,2.0,5.0,5.0,2.0,3.0,5.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,3.0,2.0,5.0,5.0,2.0,0.0,0.0,5.0,5.0,3.0,0.0,5.0,5.0,5.0
здравствуйте у меня не переоформляется автомобиль через приложение сказали что нужно кодовое слово какое то и позвонить с основного номера,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0
здравствуйте почему я не могу оплатить кредит со своей карточки у меня показывает что неверный номер карты,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,8.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0
здравствуйте я вот скачал приложение халык банк да и этот карту открыть там этот авторизация там пишется введите номер телефона ввожу номер телефона а этот далее нажимаю оно не нажимается дальше не идет не авторизуется,5.0,0.0,5.0,5.0,0.0,5.0,0.0,8.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,8.0,2.0,5.0,5.0,2.0,8.0,3.0,5.0,9.0,5.0,2.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,10.0,8.0,2.0,10.0,3.0,5.0,5.0,7.0,5.0,5.0,2.0,2.0,0.0,5.0,10.0,5.0,0.0,7.0,5.0,5.0,5.0,5.0,2.0,0.0,5.0,5.0,2.0,2.0,7.0,8.0,5.0
как можно туда сменить,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
к моему номеру телефон не приходит смс код,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,8.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
как можно заменить номер телефона онлайн,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0
как мы можем изменить доверенный номер ну приложения хоум банк у меня просто сейчас приложения самого нету с другого телефона хотел зарегистрироваться,2.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,2.0,0.0,2.0,5.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,5.0,2.0,5.0,5.0,5.0,2.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,3.0
как поменять пин код для входа в приложение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
как поменять пароль для входа в приложение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
как прикрепить новый номер приложения,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
как я могу выбрать доверенный номер если это мой единственный номер,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0
какой номер телефона привязан к моей карте,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
мне нужен номер карты реквизит,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
недоверенность как можно спросить как недоверенность получается я с чужим номером пользуюсь,2.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,2.0,5.0,5.0,2.0,0.0,2.0,5.0,2.0,0.0,5.0,2.0,2.0
нет не нужно сменить это мой второй номер я тогда им вам продиктую посмотрите,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0
нет просто я вот сейчас хочу чтобы мне сюда пришел на этот номер телефона чтобы,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,5.0
нет не зарегистрироваться а номер телефона он пишет что это некорректный номер телефона,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0
нет я потерял телефон я я звоню с другого номера должен блокировать телефон это карту,2.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0
подождите подождите этот номер мой он всегда со мной закрепленный и он доверенный я я не один раз проходил верификацию,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,8.0,0.0,0.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0
оно я пробовал короче новый номер вводить оно пишет типа обратитесь в ближайший банк,0.0,5.0,10.0,5.0,0.0,5.0,0.0,8.0,8.0,0.0,5.0,8.0,5.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,8.0,5.0,0.0,0.0,2.0,5.0,2.0,5.0,5.0,0.0,5.0,2.0,2.0,5.0,5.0,2.0,0.0,0.0,2.0,5.0,5.0,5.0,8.0,8.0,5.0,8.0,0.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,0.0,8.0,0.0,0.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,8.0,5.0,5.0,5.0,5.0,8.0,5.0
о господи боже мой какое доверенное этот давай смени смени давай сменить номер да,8.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,5.0,5.0,5.0
